stem,title,reference,doc_type,published_date,label,confidence,basis,notes
PS23_5,PS23/5: Debt Packagers: Feedback to CP23/5 and final rules[pdf],PS23/5,PS,2023-06-02,amendment,high,PS final rules on debt packagers (feedback + made rules),
PS23_13,PS23/13: Introducing a gateway for firms who approve financial promotions September[pdf],PS23/13,PS,2023-09-12,new_rule,high,Introduces new s21 financial promotions approval gateway,
cp25_27_technical_annex_3,CP25/27: Technical Annex 3: Market Impacts[pdf],,CP,2025-10-07,guidance,med,"Technical annex to CP25/27 (market-impact analysis, no rules)",
PS24_14,PS24/14: Improving transparency for bond and derivatives markets[pdf],PS24/14,PS,2024-11-05,amendment,high,PS with final transparency rules for bonds/derivatives + DP,
CP23_28,CP23/28: Updating the regime for Money Market Funds[pdf],CP23/28,CP,2023-12-06,consultation,high,CP proposing updates to Money Market Funds regime,
CP25_38,CP25/38: Enhancing fund liquidity risk management[pdf],CP25/38,CP,2025-12-09,consultation,high,CP on fund liquidity risk management,
PS25_11,PS25/11: Mortgage Rule Review: First steps to simplify our rules and increase flexibility[pdf],PS25/11,PS,2025-07-22,amendment,high,PS final rules simplifying mortgage rules (made rules instrument),
cp24_12,CP24-12: Consultation on the new Public Trading Offers and Admissions to the Trading Regulations regime (POATRs)[pdf],,CP,2024-07-26,consultation,high,CP on new POATRs regime,
CP26_25,CP26/25: The Value for Money Framework: consultation,CP26/25,CP,2026-07-13,consultation,high,Open consultation (DWP joint) on Value for Money Framework,
CP24_18,CP24/18: Quarterly Consultation No. 45[pdf],CP24/18,CP,2024-09-06,consultation,high,Quarterly consultation paper No. 45,
CP25_9,CP25/9: Further proposals on product information for Consumer Composite Investments[pdf],CP25/9,CP,2025-04-16,consultation,high,CP on CCI product information,
CP26_20,CP26/20: Adapting our rules for a changing market: self-invested personal pensions[pdf],CP26/20,CP,2026-06-22,consultation,high,CP adapting rules for SIPP providers,
CP24_19,CP24/19: Consumer Credit Regulatory Returns[pdf],CP24/19,CP,2024-09-12,consultation,high,CP on consumer credit regulatory returns,
handbook_notice_133,Handbook Notice 133[pdf],,HN,2025-10-03,amendment,high,Handbook Notice enacting instrument changes,
PS24_6,PS24/6: Primary Markets Effectiveness Review: Feedback to CP23/31 and final UK Listing Rules[pdf],PS24/6,PS,2024-07-11,amendment,high,PS final UK Listing Rules (restructure/replace LR),
CP26_22,CP26/22: Simplifying the insurance rules[pdf],CP26/22,CP,2026-06-29,consultation,high,CP simplifying insurance rules,
handbook_notice_112,Handbook Notice 112[pdf],,HN,2023-09-29,amendment,high,Handbook Notice enacting instrument changes,
CP24_7,CP24/7: Payment optionality for investment research[pdf],CP24/7,CP,2024-04-10,consultation,high,CP on payment optionality for research,
FG24_5,FG24/5: Prudential assessment of acquisitions and increases in control[pdf],FG24/5,FG,2024-11-01,guidance,high,Finalised guidance on prudential assessments,
CP24_11,CP24/11: Quarterly Consultation Paper No. 44[pdf],CP24/11,CP,2024-07-08,consultation,high,Quarterly consultation paper No. 44,
CP25_17,CP25/17: Supporting consumers’ pensions and investment decisions: proposals for targeted support[pdf],CP25/17,CP,2025-06-30,consultation,high,CP on targeted pensions/investment support,
PS22_14,Consumer redress scheme for unsuitable advice to transfer out of the British Steel Pension Scheme - addendum to PS22/14[pdf],PS22/14,PS,2023-01-26,amendment,med,Addendum amending CBA text of existing PS22/14,
handbook_notice_136,Handbook Notice 136[pdf],,HN,2025-12-19,amendment,high,Handbook Notice enacting instrument changes,
PS25_23,PS25/23: Tackling non-financial misconduct in financial services[pdf],PS25/23,PS,2025-12-12,amendment,high,PS made rules/guidance in COCON & FIT on non-financial misconduct,
CP24_3,CP24/3: Quarterly Consultation Paper No. 43[pdf],CP24/3,CP,2024-03-01,consultation,high,Quarterly consultation paper No. 43,
CP24_9,CP24/9: Financial Crime Guide updates[pdf],CP24/9,CP,2024-04-25,consultation,high,CP updating the Financial Crime Guide,
CP23_22,CP23/22: Regulatory fees and levies: policy proposals for 2024/25[pdf],CP23/22,CP,2023-11-21,consultation,high,CP on fees and levies proposals,
PS23_15,PS23/15: Remuneration: Ratio between fixed and variable components of total remuneration,PS23/15,PS,2023-10-24,amendment,high,Joint PS with final remuneration ratio rules (bonus cap),
CP25_36,CP25/36: Client categorisation and conflicts of interest[pdf],CP25/36,CP,2025-12-08,consultation,high,CP on client categorisation and conflicts,
FG24_1,FG24/1: Finalised guidance on financial promotions on social media[pdf],FG24/1,FG,2024-03-26,guidance,high,Finalised guidance on social media financial promotions,
PS23_3,PS23/3: Creation of a baseline financial resilience regulatory return: Feedback to CP22/19 and final rules[pdf],PS23/3,PS,2023-05-02,new_rule,high,Creates new baseline financial resilience regulatory return,
PS24_7,PS24/7: Implementing the Overseas Funds Regime[pdf],PS24/7,PS,2024-07-17,new_rule,med,Implements new Overseas Funds Regime recognition framework,
CP24_24,CP24/24: The MiFID Organisational Regulation[pdf],CP24/24,CP,2024-11-27,consultation,high,CP on MiFID Organisational Regulation,
handbook_notice_129,Handbook Notice 129[pdf],,HN,2025-05-02,amendment,high,Handbook Notice enacting instrument changes,
PS25_2,PS25/2: Derivatives trading obligation and post-trade risk reduction services[pdf],PS25/2,PS,2025-04-03,amendment,high,PS final rules on DTO classes/exemptions,
CP24_20,CP24/20: Changes to the safeguarding regime for payments and e-money firms[pdf],CP24/20,CP,2024-09-25,consultation,high,CP on payments/e-money safeguarding regime,
PS23_2,"PS23/2: Changes to reporting requirements, procedures for data quality and registration of Trade Repositories under UK EMIR[pdf]",PS23/2,PS,2023-02-24,amendment,high,PS final rules amending UK EMIR reporting requirements,
handbook_notice_125,Handbook Notice 125[pdf],,HN,2024-12-20,amendment,high,Handbook Notice enacting instrument changes,
PS25_20,PS25/20: Supporting informed decision making: Final rules for Consumer Composite Investments[pdf],PS25/20,PS,2025-12-08,new_rule,high,Final rules introducing Consumer Composite Investments product regime,
CP26_28,CP26/28: The UK AIFM Regime[pdf],CP26/28,CP,2026-07-14,consultation,high,CP on the UK AIFM regime,
PS24_2,PS24/2: Strengthening protections for borrowers in financial difficulty: Consumer credit and mortgages[pdf],PS24/2,PS,2024-04-10,amendment,high,PS final rules strengthening borrower protections,
PS26_16,PS26/16: Changes to information flows for UK equity IPOs[pdf],PS26/16,PS,2026-08-05,amendment,high,PS final rules amending equity IPO information flows,
fca_approach_payment_services_electronic_money_2017_november_2024_tracked_changes,Tracked changes: Payment Services and Electronic Money – Our Approach – November 2024[pdf],,FG,2024-11-22,guidance,med,Approach document (tracked changes) - non-binding guidance,
changes_uk_emir_reporting_requirements_draft_questions_answers,Changes to UK EMIR reporting requirements: draft questions and answers,,CP,2024-03-01,guidance,low,Draft Q&A (interpretive),captured text appears to be PS23/2; check live page
CP25_22,CP25/22: Modernising the redress system[pdf],CP25/22,CP,2025-07-15,consultation,high,CP modernising the redress system,
CP25_32,CP25/32: Improving the UK transaction reporting regime[pdf],CP25/32,CP,2025-11-21,consultation,high,CP improving transaction reporting regime,
CP26_17,CP26/17: Quarterly consultation paper No. 52[pdf],CP26/17,CP,2026-06-05,consultation,high,Quarterly consultation paper No. 52,
PS25_14,PS25/14: Definition of capital for FCA investment firms[pdf],PS25/14,PS,2025-10-15,amendment,high,PS final rules simplifying/consolidating own-funds definition,
FG23_6,FG23/6: General guidance on the application of ex-post risk adjustment to variable remuneration[pdf],FG23/6,FG,2023-12-05,guidance,high,General guidance on ex-post risk adjustment,
CP24_21,CP24/21: Investment research payment optionality for fund managers[pdf],CP24/21,CP,2024-11-05,consultation,high,CP on research payment optionality for fund managers,
