stem,title,reference,doc_type,published_date,label,notes
PS23_5,PS23/5: Debt Packagers: Feedback to CP23/5 and final rules[pdf],PS23/5,PS,2023-06-02,,
PS23_13,PS23/13: Introducing a gateway for firms who approve financial promotions September[pdf],PS23/13,PS,2023-09-12,,
cp25_27_technical_annex_3,CP25/27: Technical Annex 3: Market Impacts[pdf],,CP,2025-10-07,,
PS24_14,PS24/14: Improving transparency for bond and derivatives markets[pdf],PS24/14,PS,2024-11-05,,
CP23_28,CP23/28: Updating the regime for Money Market Funds[pdf],CP23/28,CP,2023-12-06,,
CP25_38,CP25/38: Enhancing fund liquidity risk management[pdf],CP25/38,CP,2025-12-09,,
PS25_11,PS25/11: Mortgage Rule Review: First steps to simplify our rules and increase flexibility[pdf],PS25/11,PS,2025-07-22,,
cp24_12,CP24-12: Consultation on the new Public Trading Offers and Admissions to the Trading Regulations regime (POATRs)[pdf],,CP,2024-07-26,,
CP26_25,CP26/25: The Value for Money Framework: consultation,CP26/25,CP,2026-07-13,,
CP24_18,CP24/18: Quarterly Consultation No. 45[pdf],CP24/18,CP,2024-09-06,,
CP25_9,CP25/9: Further proposals on product information for Consumer Composite Investments[pdf],CP25/9,CP,2025-04-16,,
CP26_20,CP26/20: Adapting our rules for a changing market: self-invested personal pensions[pdf],CP26/20,CP,2026-06-22,,
CP24_19,CP24/19: Consumer Credit Regulatory Returns[pdf],CP24/19,CP,2024-09-12,,
handbook_notice_133,Handbook Notice 133[pdf],,HN,2025-10-03,,
PS24_6,PS24/6: Primary Markets Effectiveness Review: Feedback to CP23/31 and final UK Listing Rules[pdf],PS24/6,PS,2024-07-11,,
CP26_22,CP26/22: Simplifying the insurance rules[pdf],CP26/22,CP,2026-06-29,,
handbook_notice_112,Handbook Notice 112[pdf],,HN,2023-09-29,,
CP24_7,CP24/7: Payment optionality for investment research[pdf],CP24/7,CP,2024-04-10,,
FG24_5,FG24/5: Prudential assessment of acquisitions and increases in control[pdf],FG24/5,FG,2024-11-01,,
CP24_11,CP24/11: Quarterly Consultation Paper No. 44[pdf],CP24/11,CP,2024-07-08,,
